,date,txn_count
0,2012-04-11,72
1,2012-04-12,239
2,2012-04-13,262
3,2012-04-14,193
4,2012-04-15,191
5,2012-04-16,211
6,2012-04-17,207
7,2012-04-18,198
8,2012-04-19,210
9,2012-04-20,227
10,2012-04-21,209
11,2012-04-22,200
12,2012-04-23,212
13,2012-04-24,205
14,2012-04-25,199
15,2012-04-26,190
16,2012-04-27,265
17,2012-04-28,201
18,2012-04-29,254
19,2012-04-30,262
20,2012-05-01,235
21,2012-05-02,200
22,2012-05-03,183
23,2012-05-04,197
24,2012-05-05,181
25,2012-05-06,169
26,2012-05-07,192
27,2012-05-08,190
28,2012-05-09,219
29,2012-05-10,220
30,2012-05-11,201
31,2012-05-12,179
32,2012-05-13,127
33,2012-05-14,195
34,2012-05-15,223
35,2012-05-16,182
36,2012-05-17,162
37,2012-05-18,180
38,2012-05-19,156
39,2012-05-20,145
40,2012-05-21,176
41,2012-05-22,211
42,2012-05-23,189
43,2012-05-24,190
44,2012-05-25,206
45,2012-05-26,163
46,2012-05-27,150
47,2012-05-28,151
48,2012-05-29,208
49,2012-05-30,190
50,2012-05-31,210
51,2012-06-01,308
52,2012-06-02,187
53,2012-06-03,185
54,2012-06-04,227
55,2012-06-05,284
56,2012-06-06,276
57,2012-06-07,190
58,2012-06-08,197
59,2012-06-09,189
60,2012-06-10,185
61,2012-06-11,187
62,2012-06-12,194
63,2012-06-13,185
64,2012-06-14,194
65,2012-06-15,227
66,2012-06-16,170
67,2012-06-17,179
68,2012-06-18,228
69,2012-06-19,214
70,2012-06-20,177
71,2012-06-21,204
72,2012-06-22,190
73,2012-06-23,168
74,2012-06-24,164
75,2012-06-25,199
76,2012-06-26,191
77,2012-06-27,186
78,2012-06-28,194
79,2012-06-29,234
80,2012-06-30,228
81,2012-07-01,237
82,2012-07-02,261
83,2012-07-03,237
84,2012-07-04,193
85,2012-07-05,216
86,2012-07-06,228
87,2012-07-07,193
88,2012-07-08,186
89,2012-07-09,247
90,2012-07-10,181
91,2012-07-11,230
92,2012-07-12,214
93,2012-07-13,186
94,2012-07-14,208
95,2012-07-15,207
96,2012-07-16,248
97,2012-07-17,212
98,2012-07-18,215
99,2012-07-19,217
100,2012-07-20,233
101,2012-07-21,265
102,2012-07-22,237
103,2012-07-23,289
104,2012-07-24,238
105,2012-07-25,196
