Type,Degree,n
Unique In,0,4923704
Unique In,1,5967599
Unique In,2,2849348
Unique In,3,1869031
Unique In,4,1380357
Unique In,5,1082478
Unique In,6,880536
Unique In,7,735248
Unique In,8,624684
Unique In,9,536865
Unique In,10,465854
Unique In,11,407451
Unique In,12,358913
Unique In,13,317811
Unique In,14,283919
Unique In,15,253623
Unique In,16,227877
Unique In,17,204364
Unique In,18,185567
Unique In,19,167114
Unique In,20,152015
Unique In,21,138619
Unique In,22,126403
Unique In,23,115094
Unique In,24,105550
Unique In,25,96389
Unique In,26,88051
Unique In,27,81169
Unique In,28,75008
Unique In,29,68208
Unique In,30,63244
Unique In,31,58427
Unique In,32,54097
Unique In,33,49247
Unique In,34,46081
Unique In,35,42783
Unique In,36,39494
Unique In,37,36530
Unique In,38,34036
Unique In,39,31569
Unique In,40,29495
Unique In,41,27484
Unique In,42,25683
Unique In,43,23819
Unique In,44,22071
Unique In,45,20623
Unique In,46,19248
Unique In,47,17979
Unique In,48,16929
Unique In,49,15736
Unique In,50,14827
Unique In,51,13881
Unique In,52,13272
Unique In,53,12019
Unique In,54,11340
Unique In,55,10687
Unique In,56,10031
Unique In,57,9484
Unique In,58,8864
Unique In,59,8239
Unique In,60,7922
Unique In,61,7340
Unique In,62,7084
Unique In,63,6715
Unique In,64,6124
Unique In,65,5992
Unique In,66,5473
Unique In,67,5371
Unique In,68,4938
Unique In,69,4691
Unique In,70,4428
Unique In,71,4197
Unique In,72,3980
Unique In,73,3779
Unique In,74,3562
Unique In,75,3455
Unique In,76,3209
Unique In,77,3122
Unique In,78,2895
Unique In,79,2737
Unique In,80,2578
Unique In,81,2517
Unique In,82,2401
Unique In,83,2334
Unique In,84,1993
Unique In,85,2067
Unique In,86,1908
Unique In,87,1879
Unique In,88,1841
Unique In,89,1742
Unique In,90,1676
Unique In,91,1561
Unique In,92,1443
Unique In,93,1506
Unique In,94,1319
Unique In,95,1261
Unique In,96,1229
Unique In,97,1172
Unique In,98,1169
Unique In,99,1130
Unique In,100,1065
Unique In,101,1032
Unique In,102,970
Unique In,103,873
Unique In,104,901
Unique In,105,869
Unique In,106,846
Unique In,107,824
Unique In,108,755
Unique In,109,726
Unique In,110,687
Unique In,111,693
Unique In,112,680
Unique In,113,670
Unique In,114,619
Unique In,115,552
Unique In,116,536
Unique In,117,546
Unique In,118,503
Unique In,119,554
Unique In,120,502
Unique In,121,471
Unique In,122,469
Unique In,123,443
Unique In,124,424
Unique In,125,427
Unique In,126,392
Unique In,127,397
Unique In,128,369
Unique In,129,405
Unique In,130,346
Unique In,131,323
Unique In,132,306
Unique In,133,324
Unique In,134,313
Unique In,135,259
Unique In,136,284
Unique In,137,282
Unique In,138,260
Unique In,139,296
Unique In,140,270
Unique In,141,237
Unique In,142,218
Unique In,143,256
